eTime Replaceme,Location,Combo Code,Description 
200200,159,1021.898.317.9121.635075,VAS Trainer
200201,159,1021.898.317.9121.635075,Spotter
200202,159,1021.898.317.9121.635075,Procution Line- CLIP
200203,159,1021.898.317.9121.635075,Procution Line- CDSP
200204,159,1021.898.317.9121.635075,Procution Line- PP
200205,159,1021.898.317.9121.635075,Procution Line- DBHP
200206,159,1021.898.317.9121.635075,Procution Line- DBIN
200207,159,1021.898.317.9121.635075,Procution Line- QPLT
200208,159,1021.898.317.9121.635075,Procution Line- HPLT
200209,159,1021.898.317.9121.635075,Procution Line- PLT
200210,159,1021.898.317.9121.635075,Procution Line- ECAP
200211,159,1021.898.317.9121.635075,Procution Line- 9BIN
200212,159,1021.898.317.9121.635075,Procution Line- STKB
200213,159,1021.898.317.9121.635075,Procution Line- RLRK
200214,159,1021.898.317.9121.635075,Procution Line- OS
200215,159,1021.898.317.9121.635075,Procution Line- AST
200216,159,1021.898.317.9121.635075,Procution Line- STD
200217,159,1021.898.317.9121.635075,Procution Line- WRAP
200218,159,1021.898.317.9121.635075,Procution Line- Bundle
200219,159,1021.898.317.9121.635075,Procution Line- LBLM
200220,159,1021.898.317.9121.635075,Procution Line- LBLT
200221,159,1021.898.317.9121.635075,Procution Line- SP
912100,159,1021.898.317.9121.635075,VAS Promo Home
912131,159,1021.898.317.9121.635075,VAS CTO Putaway
912133,159,1021.898.317.9121.635075,VAS- Fulfillment
912134,159,1021.898.317.9121.635075,VAS IPT
912139,159,1021.898.317.9121.635075,VAS- Leadperson
,,,
912135,159,1021.898.317.9151.635075,Amazon Flex
912136,159,1021.898.317.9151.635075,VAS- Price Ticket
912137,159,1021.898.317.9151.635075,VAS- Amazon
,,,
914100,159,1101.898.317.9141.635075,VAS- Battery Top Charge
,,,
914132,159,1021.898.317.9141.635075,Rework
914133,159,1021.898.317.9141.635075,Rework
914134,159,1021.898.317.9141.635075,Rework
914135,159,1021.898.317.9141.635075,Rework
200122,159,1021.898.317.9141.635075,Rework - Boys
200123,159,1021.898.317.9141.635075,Rework - Girls
200124,159,1021.898.317.9141.635075,Rework - Infant/Preschool
200125,159,1021.898.317.9141.635075,Rework - Mega
200126,159,1021.898.317.9141.635075,Rework - AG
,,,
911101,159,6011.898.317.9112.635075,CTO- Inbound Putaway
911102,159,6011.898.317.9112.635075,CTO- Re-Warehousing
911132,159,6011.898.317.9112.635075,CTO- Inbound Receiving
911133,159,6011.898.317.9112.635075,Inbound Trainer
911134,159,6011.898.317.9112.635075,Material Handler
911135,159,6011.898.317.9112.635075,Warehouse Location Audit
911136,159,6011.898.317.9112.635075,Inbound Checker
911137,159,6011.898.317.9112.635075,Lead- Re-Warehousing
911138,159,6011.898.317.9112.635075,Special Projects
911139,159,6011.898.317.9112.635075,Lead- Inbound
911232,159,6011.898.317.9112.635075,Operation Home
911233,159,6011.898.317.9112.635075,Offsite Warehouse
911332,159,6011.898.317.9112.635075,CTO-Outbound
911333,159,6011.898.317.9112.635075,CTO Hotlane Pick Zone
911334,159,6011.898.317.9112.635075,Labeler Outbound
911336,159,6011.898.317.9112.635075,Checker Outbound
911338,159,6011.898.317.9112.635075,Trainer Outbound
911339,159,6011.898.317.9112.635075,Lead- Outbound
913100,159,6011.898.317.9112.635075,Customer Service
,,,
911234,159,1021.898.317.9131.635075,Direct to Consumer
911235,159,1021.898.317.9131.635075,DTC Maintenance
911236,159,1021.898.317.9131.635075,DTC Overhead/ Cycle Count
911237,159,1021.898.317.9131.635075,DTC Returns
911238,159,1021.898.317.9131.635075,DTC Leadperson
,,,
911400,159,1101.931.317.9131.635075,AG DTC
911432,159,1101.931.317.9131.635075,AG DTC Maintenance
911433,159,1101.931.317.9131.635075,AG DTC Overhead/ Cycle Count
911434,159,1101.931.317.9131.635075,AG DTC Returns
911435,159,1101.931.317.9131.635075,AG DTC Leadperson
911800,159,1101.931.317.9131.635075,AG B2B 
911832,159,1101.931.317.9131.635075,AG B2B Maintenance
911833,159,1101.931.317.9131.635075,AG B2B Overhead/ Cycle Count
911834,159,1101.931.317.9131.635075,AG B2B Returns
911835,159,1101.931.317.9131.635075,AG B2B Lead person
400226,159,1101.931.317.9131.635075,AG Retail
400427,159,1101.931.317.9131.635075,AG Retail 2
400428,159,1101.931.317.9131.635075,AG Retail 3
,,,
300200,159,1021.898.317.3002.635075,Traffic
300206,159,1021.898.317.3002.635075,Yard Truck Driver
300214,159,1021.898.317.3002.635075,Inventory 
300600,159,1021.898.317.3002.635075,Maintenance
300632,159,1021.898.317.3002.635075,Custodial
,,,
560300,159,1022.000.317.5603.635075,Toy Store
